transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,cantidad_vendida,prediccion
T06253,S001,2023-12-28,12,Thursday,19,Trujillo,Residencial,Hot Dog,Comidas,7.5,Ninguno,Nublado,5,3.069913115339393
T04685,S004,2023-09-20,9,Wednesday,12,Cusco,Mixta,Cristal,Alcohol,5.5,Ninguno,Soleado,2,3.069913115339393
T01732,S004,2023-12-24,12,Sunday,16,Arequipa,Comercial,Pilsen,Alcohol,6.0,Ninguno,Lluvioso,7,3.737531340687373
T04743,S003,2023-12-16,12,Saturday,12,Huancayo,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Soleado,2,3.069913115339393
T04522,S002,2023-11-07,11,Tuesday,19,Piura,Mixta,Hot Dog,Comidas,7.5,Ninguno,Lluvioso,4,3.1126472606564866
T06341,S008,2023-07-14,7,Friday,16,Piura,Residencial,Paracetamol,Farmacia,5.0,Ninguno,Nublado,2,3.069913115339393
T00577,S003,2023-08-26,8,Saturday,8,Lima,Comercial,Cristal,Alcohol,5.5,Ninguno,Nublado,3,3.069913115339393
T05202,S010,2023-03-29,3,Wednesday,22,Trujillo,Comercial,Coca Cola 500ml,Bebidas,3.5,Ninguno,Lluvioso,4,3.069913115339393
T06364,S002,2023-08-23,8,Wednesday,18,Piura,Mixta,Shampoo,Aseo,12.0,Ninguno,Lluvioso,3,3.069913115339393
T00440,S002,2023-04-19,4,Wednesday,7,Arequipa,Mixta,Oreo,Snacks,3.8,Ninguno,Lluvioso,2,3.069913115339393
T02751,S002,2023-01-01,1,Sunday,18,Huancayo,Mixta,Sandwich,Comidas,8.0,Ninguno,Soleado,2,3.069913115339393
T07488,S003,2023-07-16,7,Sunday,8,Piura,Residencial,Shampoo,Aseo,12.0,2x1,Soleado,5,3.6395364220811572
T05272,S003,2023-03-23,3,Thursday,17,Piura,Residencial,Empanada,Comidas,6.5,Ninguno,Lluvioso,4,3.069913115339393
T05653,S001,2023-01-14,1,Saturday,15,Huancayo,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Soleado,3,3.069913115339393
T04000,S005,2023-02-28,2,Tuesday,19,Trujillo,Comercial,Agua 625ml,Bebidas,2.0,Combo,Nublado,3,3.1299790404551886
T06034,S009,2023-11-06,11,Monday,22,Lima,Comercial,Empanada,Comidas,6.5,Descuento,Nublado,3,2.8489991187953385
T00583,S006,2023-01-22,1,Sunday,22,Lima,Residencial,Doritos,Snacks,4.5,Ninguno,Soleado,1,3.069913115339393
T09931,S007,2023-03-19,3,Sunday,16,Huancayo,Comercial,Coca Cola 500ml,Bebidas,3.5,Combo,Nublado,3,3.1299790404551886
T07052,S005,2023-09-30,9,Saturday,9,Arequipa,Residencial,Pilsen,Alcohol,6.0,Ninguno,Lluvioso,3,3.069913115339393
T08159,S001,2023-07-31,7,Monday,21,Huancayo,Comercial,Agua 625ml,Bebidas,2.0,2x1,Lluvioso,3,3.6395364220811572
T09895,S003,2023-03-12,3,Sunday,10,Piura,Comercial,Paracetamol,Farmacia,5.0,Combo,Lluvioso,2,3.1299790404551886
T02250,S003,2023-04-10,4,Monday,8,Trujillo,Residencial,Lays,Snacks,4.2,Descuento,Nublado,2,2.889802728593362
T04641,S009,2023-04-13,4,Thursday,15,Huancayo,Comercial,Coca Cola 500ml,Bebidas,3.5,Ninguno,Lluvioso,2,3.069913115339393
T09486,S005,2023-09-11,9,Monday,20,Arequipa,Residencial,Shampoo,Aseo,12.0,Ninguno,Lluvioso,2,3.069913115339393
T04947,S010,2023-09-16,9,Saturday,8,Trujillo,Mixta,Cristal,Alcohol,5.5,Combo,Soleado,8,3.3777468975980454
T09919,S005,2023-05-07,5,Sunday,15,Piura,Comercial,Oreo,Snacks,3.8,Ninguno,Lluvioso,3,3.069913115339393
T01964,S007,2023-08-11,8,Friday,15,Trujillo,Comercial,Jabon,Aseo,4.5,Descuento,Nublado,2,2.889802728593362
T08244,S009,2023-10-11,10,Wednesday,15,Cusco,Mixta,Jabon,Aseo,4.5,Ninguno,Soleado,2,3.069913115339393
T06591,S004,2023-09-08,9,Friday,10,Trujillo,Residencial,Shampoo,Aseo,12.0,Descuento,Soleado,3,2.9348382796344996
T08848,S001,2023-04-05,4,Wednesday,17,Arequipa,Mixta,Agua 625ml,Bebidas,2.0,Combo,Lluvioso,2,3.1299790404551886
T00322,S009,2023-10-09,10,Monday,10,Arequipa,Mixta,Shampoo,Aseo,12.0,Ninguno,Soleado,2,3.069913115339393
