transaction_id,store_id,fecha,mes,dia_semana,hora,ubicacion_tienda,tipo_zona,producto,categoria_producto,precio_unitario,tipo_promocion,clima,cantidad_vendida
T00001,S002,2023-01-13,1,Friday,15:15,Huancayo,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,5
T00002,S009,2023-01-17,1,Tuesday,07:05,Trujillo,Residencial,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,2
T00003,S001,2023-04-23,4,Sunday,21:37,Piura,Mixta,Chocolate,Snacks,4.0,Ninguno,Nublado,4
T00004,S002,2023-03-21,3,Tuesday,13:48,Cusco,Residencial,Hot Dog,Comidas,7.5,Ninguno,Nublado,4
T00005,S002,2023-05-16,5,Tuesday,08:46,Cusco,Residencial,Sandwich,Comidas,8.0,Ninguno,Lluvioso,2
T00006,S002,2023-11-13,11,Monday,18:36,Lima,Mixta,Sandwich,Comidas,8.0,Ninguno,Soleado,3
T00007,S006,2023-04-30,4,Sunday,10:24,Piura,Comercial,Empanada,Comidas,6.5,Ninguno,Nublado,2
T00008,S009,2023-12-26,12,Tuesday,09:38,Huancayo,Residencial,Lays,Snacks,4.2,2x1,Soleado,3
T00009,S001,2023-05-19,5,Friday,14:43,Piura,Residencial,Cristal,Alcohol,5.5,Ninguno,Nublado,3
T00010,S006,2023-02-03,2,Friday,13:58,Piura,Mixta,Cristal,Alcohol,5.5,Combo,Nublado,3
T00011,S009,2023-03-15,3,Wednesday,15:08,Trujillo,Comercial,Cristal,Alcohol,5.5,Ninguno,Lluvioso,2
T00012,S003,2023-10-26,10,Thursday,19:23,Trujillo,Comercial,Shampoo,Aseo,12.0,Ninguno,Soleado,1
T00013,S010,2023-03-20,3,Monday,12:50,Lima,Comercial,Coca Cola 500ml,Bebidas,3.5,2x1,Nublado,6
T00014,S001,2023-09-28,9,Thursday,15:35,Huancayo,Mixta,Shampoo,Aseo,12.0,Descuento,Soleado,3
T00015,S003,2023-11-25,11,Saturday,17:07,Cusco,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,2
T00016,S005,2023-09-14,9,Thursday,12:32,Huancayo,Mixta,Ibuprofeno,Farmacia,6.0,Combo,Lluvioso,4
T00017,S009,2023-07-11,7,Tuesday,12:34,Lima,Mixta,Oreo,Snacks,3.8,Combo,Nublado,3
T00018,S005,2023-02-27,2,Monday,18:56,Piura,Residencial,Pilsen,Alcohol,6.0,Combo,Soleado,7
T00019,S009,2023-02-13,2,Monday,22:52,Piura,Residencial,Jabon,Aseo,4.5,Ninguno,Lluvioso,2
T00020,S004,2023-05-16,5,Tuesday,20:13,Huancayo,Comercial,Pilsen,Alcohol,6.0,Combo,Nublado,2
T00021,S002,2023-08-13,8,Sunday,21:07,Arequipa,Residencial,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,3
T00022,S001,2023-10-29,10,Sunday,14:00,Piura,Residencial,Jabon,Aseo,4.5,Ninguno,Soleado,3
T00023,S004,2023-09-21,9,Thursday,14:17,Trujillo,Residencial,Empanada,Comidas,6.5,2x1,Lluvioso,3
T00024,S002,2023-05-05,5,Friday,22:51,Lima,Mixta,Shampoo,Aseo,12.0,Ninguno,Nublado,4
T00025,S002,2023-07-30,7,Sunday,21:55,Lima,Comercial,Hot Dog,Comidas,7.5,2x1,Lluvioso,6
T00026,S003,2023-05-08,5,Monday,13:12,Cusco,Residencial,Empanada,Comidas,6.5,Ninguno,Nublado,2
T00027,S009,2023-02-08,2,Wednesday,21:51,Lima,Residencial,Pilsen,Alcohol,6.0,Descuento,Lluvioso,4
T00028,S008,2023-02-17,2,Friday,14:10,Piura,Comercial,Jabon,Aseo,4.5,Ninguno,Soleado,2
T00029,S008,2023-01-02,1,Monday,19:16,Arequipa,Comercial,Chocolate,Snacks,4.0,Combo,Lluvioso,5
T00030,S001,2023-03-21,3,Tuesday,13:18,Trujillo,Mixta,Ibuprofeno,Farmacia,6.0,Ninguno,Lluvioso,5
T00031,S009,2023-01-30,1,Monday,08:37,Piura,Residencial,Agua 625ml,Bebidas,2.0,Ninguno,Lluvioso,3
T00032,S007,2023-02-05,2,Sunday,09:43,Lima,Mixta,Inca Kola 500ml,Bebidas,3.2,Descuento,Soleado,1
T00033,S010,2023-11-14,11,Tuesday,09:26,Trujillo,Comercial,Jabon,Aseo,4.5,2x1,Nublado,2
T00034,S005,2023-05-03,5,Wednesday,15:25,Cusco,Comercial,Lays,Snacks,4.2,Ninguno,Soleado,3
T00035,S009,2023-11-15,11,Wednesday,10:04,Arequipa,Residencial,Gatorade,Bebidas,4.0,Ninguno,Nublado,3
T00036,S009,2023-07-09,7,Sunday,16:10,Huancayo,Comercial,Inca Kola 500ml,Bebidas,3.2,Ninguno,Lluvioso,3
T00037,S003,2023-12-08,12,Friday,16:59,Arequipa,Residencial,Paracetamol,Farmacia,5.0,2x1,Soleado,3
T00038,S006,2023-05-20,5,Saturday,16:38,Piura,Mixta,Paracetamol,Farmacia,5.0,Ninguno,Lluvioso,6
T00039,S001,2023-09-08,9,Friday,15:57,Lima,Mixta,Sandwich,Comidas,8.0,Combo,Nublado,5
T00040,S005,2023-01-02,1,Monday,17:49,Piura,Mixta,Empanada,Comidas,6.5,Ninguno,Nublado,1
T00041,S003,2023-10-15,10,Sunday,07:07,Trujillo,Residencial,Shampoo,Aseo,12.0,Ninguno,Nublado,2
T00042,S001,2023-08-09,8,Wednesday,11:02,Arequipa,Residencial,Jabon,Aseo,4.5,Ninguno,Lluvioso,3
T00043,S004,2023-07-01,7,Saturday,20:39,Piura,Residencial,Doritos,Snacks,4.5,2x1,Nublado,4
T00044,S004,2023-06-20,6,Tuesday,20:51,Arequipa,Residencial,Inca Kola 500ml,Bebidas,3.2,2x1,Lluvioso,2
T00045,S008,2023-01-20,1,Friday,22:14,Arequipa,Comercial,Gatorade,Bebidas,4.0,Ninguno,Soleado,3
T00046,S002,2023-12-04,12,Monday,13:25,Arequipa,Comercial,Doritos,Snacks,4.5,Ninguno,Lluvioso,3
T00047,S005,2023-12-14,12,Thursday,17:01,Piura,Mixta,Shampoo,Aseo,12.0,Ninguno,Nublado,4
T00048,S006,2023-11-02,11,Thursday,20:22,Cusco,Mixta,Coca Cola 500ml,Bebidas,3.5,2x1,Lluvioso,3
T00049,S007,2023-10-23,10,Monday,13:16,Lima,Mixta,Gatorade,Bebidas,4.0,Ninguno,Lluvioso,1
T00050,S006,2023-07-06,7,Thursday,20:04,Trujillo,Comercial,Paracetamol,Farmacia,5.0,Combo,Lluvioso,3
T00051,S007,2023-09-17,9,Sunday,16:42,Huancayo,Comercial,Agua 625ml,Bebidas,2.0,Ninguno,Lluvioso,3
T00052,S003,2023-08-04,8,Friday,19:43,Trujillo,Mixta,Oreo,Snacks,3.8,2x1,Nublado,3
T00053,S010,2023-06-05,6,Monday,16:13,Trujillo,Mixta,Pilsen,Alcohol,6.0,Ninguno,Nublado,4
T00054,S003,2023-08-15,8,Tuesday,13:32,Huancayo,Residencial,Cristal,Alcohol,5.5,Ninguno,Nublado,3
T00055,S004,2023-02-17,2,Friday,14:43,Piura,Residencial,Shampoo,Aseo,12.0,Ninguno,Soleado,4
T00056,S010,2023-11-09,11,Thursday,09:29,Piura,Mixta,Chocolate,Snacks,4.0,Ninguno,Lluvioso,3
T00057,S001,2023-07-24,7,Monday,14:09,Lima,Comercial,Cristal,Alcohol,5.5,2x1,Soleado,2
T00058,S008,2023-01-26,1,Thursday,14:58,Piura,Comercial,Chocolate,Snacks,4.0,Descuento,Lluvioso,3
T00059,S008,2023-08-15,8,Tuesday,20:53,Piura,Mixta,Shampoo,Aseo,12.0,Combo,Nublado,2
